participant,task,completed,time_seconds,errors
Target-P1,登录并进入首页罗盘,true,35,0
Target-P2,登录并进入首页罗盘,true,45,0
Target-P3,登录并进入首页罗盘,true,38,0
Target-P4,登录并进入首页罗盘,true,52,1
Target-P5,登录并进入首页罗盘,true,41,0
Target-P6,登录并进入首页罗盘,true,48,0
Target-P1,定位OTA数据缺口并进入修复入口,true,110,1
Target-P2,定位OTA数据缺口并进入修复入口,true,135,1
Target-P3,定位OTA数据缺口并进入修复入口,true,118,0
Target-P4,定位OTA数据缺口并进入修复入口,true,160,2
Target-P5,定位OTA数据缺口并进入修复入口,true,128,1
Target-P6,定位OTA数据缺口并进入修复入口,true,145,2
Target-P1,生成收益根因诊断,true,95,0
Target-P2,生成收益根因诊断,true,120,1
Target-P3,生成收益根因诊断,true,108,0
Target-P4,生成收益根因诊断,true,140,1
Target-P5,生成收益根因诊断,true,116,0
Target-P6,生成收益根因诊断,true,130,1
Target-P1,将建议转执行并记录证据,true,180,1
Target-P2,将建议转执行并记录证据,true,220,2
Target-P3,将建议转执行并记录证据,true,205,1
Target-P4,将建议转执行并记录证据,true,260,2
Target-P5,将建议转执行并记录证据,true,210,1
Target-P6,将建议转执行并记录证据,true,240,2
Target-P1,获取投决经营快照并生成看板,true,150,1
Target-P2,获取投决经营快照并生成看板,true,190,2
Target-P3,获取投决经营快照并生成看板,true,170,1
Target-P4,获取投决经营快照并生成看板,true,230,2
Target-P5,获取投决经营快照并生成看板,true,185,1
Target-P6,获取投决经营快照并生成看板,true,210,2
